auc_V,peak_V,t_peak,auc_I,mean_R5_loss,mean_R4_loss,mean_S_ccr5,mean_trop_V5,max_A5,max_A4,max_B,max_C5,max_C4,min_T,F5_end,F5_start,auc_V_early,peak_V_early,t_peak_early,auc_I_early,I_day7,I_day10,run_id,scenario,t_half_A,T_A,E_V,false_R5_loss,tau_B,E_V_early,E_V_r5,false_R5,f_E,t_recovery_days
195708099.0123551,7276211.346473561,,,,0.6901827634748084,,,,,,,,,,,,,,,,,run3_3_2,run3_false_route,0.021345171589624717,0.3571428571428571,0.26738122289544664,0.8014120775193053,,,,,,
195796331.36107194,7276218.801440229,,,,0.6894787574517919,,,,,,,,,,,,,,,,,run3_3_3,run3_false_route,0.052923154120576674,0.3571428571428571,0.2670509316313435,0.8014119132047863,,,,,,
196040827.0816138,7276455.670463633,,,,0.6877871937688612,,,,,,,,,,,,,,,,,run3_3_4,run3_false_route,0.13121750885487043,0.3571428571428571,0.26613568000560794,0.8014119531767838,,,,,,
196788332.8029604,7278765.772884545,,,,0.6840484447052244,,,,,,,,,,,,,,,,,run3_3_5,run3_false_route,0.3253402960611446,0.3571428571428571,0.2633374476881144,0.801412017904644,,,,,,
199180616.36248866,7311007.436738359,,,,0.6769290801047869,,,,,,,,,,,,,,,,,run3_3_6,run3_false_route,0.8066477497162501,0.3571428571428571,0.25438211132383715,0.8014114672975208,,,,,,
206268534.2266345,10257552.026567398,,,,0.664964765836608,,,,,,,,,,,,,,,,,run3_3_7,run3_false_route,2.0,0.3571428571428571,0.2278490156366717,0.8013839469350158,,,,,,
237441052.4366082,9160316.021098517,,,,0.6666523269404566,,,,,,,,,,,,,,,,,run3_4_0,run3_false_route,0.003472222222222222,0.44285714285714284,0.11115700194122113,0.8012997505380944,,,,,,
237446736.98159617,9160273.660934623,,,,0.6665366916534012,,,,,,,,,,,,,,,,,run3_4_1,run3_false_route,0.008609017315039,0.44285714285714284,0.11113572226798074,0.8012983844373067,,,,,,
237462544.04897943,9160183.822319333,,,,0.6662528115485815,,,,,,,,,,,,,,,,,run3_4_2,run3_false_route,0.021345171589624717,0.44285714285714284,0.11107654968169334,0.8012999151032554,,,,,,
237505703.4104593,9160044.153994545,,,,0.6655480604050206,,,,,,,,,,,,,,,,,run3_4_3,run3_false_route,0.052923154120576674,0.44285714285714284,0.11091498580780379,0.8012997659963881,,,,,,
237640059.1911235,9160030.266890235,,,,0.6638389819898118,,,,,,,,,,,,,,,,,run3_4_4,run3_false_route,0.13121750885487043,0.44285714285714284,0.11041203489149609,0.8012998672375815,,,,,,
238124921.81705928,9162863.088530213,,,,0.6599636502531194,,,,,,,,,,,,,,,,,run3_4_5,run3_false_route,0.3253402960611446,0.44285714285714284,0.10859698755380587,0.8012998602842145,,,,,,
239879092.93325484,9212969.136796875,,,,0.6521315017427337,,,,,,,,,,,,,,,,,run3_4_6,run3_false_route,0.8066477497162501,0.44285714285714284,0.10203037787099356,0.8012990691928318,,,,,,
245206265.8703721,12942009.807146503,,,,0.6373804841135102,,,,,,,,,,,,,,,,,run3_4_7,run3_false_route,2.0,0.44285714285714284,0.08208850044072469,0.8012480127478601,,,,,,
263446697.25464815,11006137.854535611,,,,0.5912539806384182,,,,,,,,,,,,,,,,,run3_5_0,run3_false_route,0.003472222222222222,0.5285714285714286,0.013806796198304827,0.8011382005422034,,,,,,
263442997.4991271,11006052.781117806,,,,0.591217110177155,,,,,,,,,,,,,,,,,run3_5_1,run3_false_route,0.008609017315039,0.5285714285714286,0.013820645959143119,0.8011371403834605,,,,,,
263434642.18866232,11005852.547981706,,,,0.5911285890036003,,,,,,,,,,,,,,,,,run3_5_2,run3_false_route,0.021345171589624717,0.5285714285714286,0.013851923445184378,0.8011384989022486,,,,,,
263416078.01804936,11005453.563795285,,,,0.5908984739931897,,,,,,,,,,,,,,,,,run3_5_3,run3_false_route,0.052923154120576674,0.5285714285714286,0.013921417043257556,0.8011384068485168,,,,,,
263389419.52750707,11004974.512329899,,,,0.5902866886931832,,,,,,,,,,,,,,,,,run3_5_4,run3_false_route,0.13121750885487043,0.5285714285714286,0.014021211128628086,0.8011386650177507,,,,,,
